speaker,text,act,conv_id,topic,topic_ldaconv,topic_ldautt
0,I'm looking for some songs.,1,573,-1,-1,-1
1,I found 10 songs for you. How about I Want You by Taylor Parks on We Need To Talk.,9,573,-1,-1,-1
0,"Anything else? I like Jinjer, especially their King of Everything album.",8,573,-1,-1,-1
1,There's Pisces by Jinjer on King of Everything.,4,573,-1,-1,-1
0,What genre is that?,5,573,-1,-1,-1
1,It's metal.,6,573,-1,-1,-1
0,"Great, play it now.",10,573,-1,-1,-1
1,Please confirm: Play Pisces on tv.,11,573,-1,-1,-1
0,That's right.,20,573,-1,-1,-1
1,Playing now.,21,573,-1,-1,-1
0,Thanks.,22,573,-1,-1,-1
1,Anything else I can do?,23,573,-1,-1,-1
0,"No, thanks.",24,573,-1,-1,-1
1,Have a nice day.,15,573,-1,-1,-1
0,I would like to watch a movie.,1,210,-1,-1,-1
1,What would you like to watch?,2,210,-1,-1,-1
0,I would like to watch the movie Ash Is Purest White.,3,210,-1,-1,-1
1,You want to watch the movie: Ash is Purest White without subtitles,11,210,-1,-1,-1
0,"Yes, that is correct.",20,210,-1,-1,-1
1,Your movie is playing.,21,210,-1,-1,-1
0,"Thank you, that will be all.",14,210,-1,-1,-1
1,Enjoy your movie!,15,210,-1,-1,-1
0,I need help finding some good music.,1,748,-1,-1,-1
1,What about Move Your Body by Sia off of her This Is Acting album?,4,748,-1,-1,-1
0,"Yeah, that is perfect.",16,748,-1,-1,-1
1,Did you need anything else?,23,748,-1,-1,-1
0,"Yes, can you play it on my kitchen speaker?",27,748,-1,-1,-1
1,You said to play Move Your Body on the kitchen speaker?,11,748,-1,-1,-1
0,No on second thought play it on my bedroom speaker.,19,748,-1,-1,-1
1,"Okay, you want to hear Move Your Body on your bedroom speaker.",11,748,-1,-1,-1
0,"Yes, that is right. What genre is the artist again?",12,748,-1,-1,-1
1,It is starting now and it is a pop song.,13,748,-1,-1,-1
0,Thank you for that.,22,748,-1,-1,-1
1,Did you need anything else?,23,748,-1,-1,-1
0,No that will be all for now. Thanks.,24,748,-1,-1,-1
1,You are welcome. Enjoy your song.,15,748,-1,-1,-1
0,I am searching for a place to eat at San Fran.,27,200,-1,-1,-1
1,What is your preferred food?,2,200,-1,-1,-1
0,I prefer Peruvian type of food.,3,200,-1,-1,-1
1,I searched and found 5 restaurants. Destino is a great restaurant at San Francisco.,9,200,-1,-1,-1
0,Yes. It is good for me. Please make a reservation on 8th of March.,25,200,-1,-1,-1
1,Which is your preferred time?,2,200,-1,-1,-1
0,Book it at 12:15.,3,200,-1,-1,-1
1,"Kindly ensure that, on next Friday at 12:15 pm, the reservation is done at Destino in San Francisco. It is for 2 persons.",11,200,-1,-1,-1
0,Nope. Book it at quarter to 8 in the evening.,19,200,-1,-1,-1
1,"Kindly ensure that, reservation at Destino on 7:45 pm.",11,200,-1,-1,-1
0,Yes. It is good for me.,20,200,-1,-1,-1
1,Your booking has been successfully made.,21,200,-1,-1,-1
0,Thank you. That is what I want.,14,200,-1,-1,-1
1,Have a wonderful day.,15,200,-1,-1,-1
0,I am interested in attending a Concert. I am open to any type.,27,1055,-1,-1,-1
1,Where would you like me to search?,2,1055,-1,-1,-1
0,I will be in SD.,3,1055,-1,-1,-1
1,There are 10 events that might interest you. Would you like to attend Alejandro Sanz at Cal Coast Credit Union Amphitheater?,9,1055,-1,-1,-1
0,That would be wonderful. I'd like to purchase 3 tickets to the event.,25,1055,-1,-1,-1
1,I can do that for you. When would you be attending?,2,1055,-1,-1,-1
0,I'd like to go to the March 4th show. I need four tickets instead of 3.,3,1055,-1,-1,-1
1,"Okay, let's review. You'd like to purchase 4 tickets to Alejandro Sanz in San Diego for next Monday. Is that right?",11,1055,-1,-1,-1
0,That sounds perfect.,20,1055,-1,-1,-1
1,Great! Your tickets are confirmed.,21,1055,-1,-1,-1
0,Thank you for your assistance!,22,1055,-1,-1,-1
1,Is there anything else I can do for you today?,23,1055,-1,-1,-1
0,I think that's all I need for now. Thank you again.,24,1055,-1,-1,-1
1,You are welcome. Have a wonderful day and enjoy the show!,15,1055,-1,-1,-1
0,Please find me some dates for events.,1,498,-1,-1,-1
1,Which city would you like me to look in.,2,498,-1,-1,-1
0,I am looking for events in the Seattle area.,3,498,-1,-1,-1
1,Which even are you interested in?,2,498,-1,-1,-1
0,The Seattle Vs Minnesota game.,3,498,-1,-1,-1
1,The events starts the day after tomorrow and is on for 4 days. Seattle Vs Minnesota takes place the the Alaska Airlines Arena.,9,498,-1,-1,-1
0,What time does the game start?,5,498,-1,-1,-1
1,The game starts at 6:30 PM.,6,498,-1,-1,-1
0,The sounds good.,16,498,-1,-1,-1
1,Would you like to buy tickets for the game?,17,498,-1,-1,-1
0,"Yes, I want to buy tickets.",29,498,-1,-1,-1
1,How many tickets?,2,498,-1,-1,-1
0,3 tickets please.,3,498,-1,-1,-1
1,Please confirm: 3 tickets for Seattle Vs Minnesota on the day after tomorrow in Seattle.,11,498,-1,-1,-1
0,"Yes, that works for me. What is the address?",12,498,-1,-1,-1
1,The address is 3870 Montlake Boulevard Northeast. Your reservation is successful.,13,498,-1,-1,-1
0,Thanks for your help. That's all for now.,14,498,-1,-1,-1
1,Have a great day.,15,498,-1,-1,-1
0,I want you to search for some songs for me.,1,834,-1,-1,-1
1,Do ou like Mchat by Hoba Hoba Spirit on the Kamayanbaghi album?,4,834,-1,-1,-1
0,"Yes, that works for me.",16,834,-1,-1,-1
1,Shall I start playing the song now?,17,834,-1,-1,-1
0,"Yes, play it now.",29,834,-1,-1,-1
1,You want me to cast Mchat on your TV. Is that right?,11,834,-1,-1,-1
0,"Yes, that is right. Can you tell me what kind of music it is?",12,834,-1,-1,-1
1,It is in the Rock genre and it is playing now.,13,834,-1,-1,-1
0,Thanks a lot.,22,834,-1,-1,-1
1,Do you need anything else?,23,834,-1,-1,-1
0,"No, that is all. Thanks.",24,834,-1,-1,-1
1,Have a great day.,15,834,-1,-1,-1
0,I want to find events scheduled for March 1st.,27,1182,-1,-1,-1
1,What type of events are you looking for and in which city?,2,1182,-1,-1,-1
0,"I'm looking for music events similar to Electronica in Vancouver, BC.",3,1182,-1,-1,-1
1,I found 1 event called Last Dinosaurs at the Imperial Vancouver.,9,1182,-1,-1,-1
